SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
49.2,88.1,0.25,1.89,1.85,2.07,2.01
78.5,82.5,0.25,1.73,1.69,2.33,2.21
50.2,62,0.75,2.09,2.03,1.89,1.84
57.3,54.7,-0.5,1.96,1.91,2,1.95
67.2,52,-0.5,2.07,2.03,1.88,1.84
64.3,60,-0.5,1.91,1.86,2.05,2
40,77.6,0.5,2.06,2.01,1.88,1.85
40,78.5,0.25,1.84,1.79,2.15,2.08
57.1,49.2,-1.25,2,1.94,1.97,1.92
88.1,58.7,-1.25,2.13,2.07,1.84,1.8
90,80.5,0,1.86,1.81,2.11,2.05
82.5,60.3,-0.5,2.03,1.99,1.92,1.87
57.1,77.6,0.25,1.85,1.8,2.12,2.07
88.1,78.5,-0.5,2.01,1.97,1.94,1.89
40,58.7,-0.75,2.13,2.07,1.83,1.79
40,60,-0.75,2,1.94,1.96,1.92
80.5,50.2,-2.25,1.96,1.91,1.99,1.94
78.5,64.3,-0.25,2.03,1.99,1.92,1.87
60,40,-0.75,1.95,1.92,2,1.93
62,82.5,0.75,1.94,1.89,2.01,1.97
60.3,67.2,-1.5,2,1.93,1.98,1.92
52,57.1,0.25,2.11,2.03,1.87,1.83
49.2,90,1,2.14,2.05,1.85,1.81
58.7,40,-0.5,2.06,2.01,1.91,1.85
54.7,88.1,-0.25,2.1,2.05,1.86,1.81
77.6,57.3,-0.75,1.88,1.84,2.08,2.02
91.5,61.9,-2.5,1.91,1.84,2.06,1.99
65.1,64.3,-0.5,2.04,1.99,1.91,1.86
42.2,63.1,0,1.88,1.8,2.14,2.05
78,69.2,-0.5,1.75,1.71,2.27,2.19
76.9,76.1,-1,1.88,1.82,2.09,2.03
63.9,45.3,-0.5,2.05,1.99,1.92,1.86
69.7,75.3,0.25,1.9,1.86,2.06,2
70,57.8,-0.5,2.09,2.03,1.88,1.83
58.8,70.2,-1.25,2.06,1.98,1.93,1.88
64.3,69.7,-0.5,2.14,2.06,1.85,1.8
70.2,65.1,-0.25,1.93,1.88,2.03,1.96
57.8,58.8,0.5,2.06,1.99,1.9,1.86
61.9,70,0,2.17,2.07,1.82,1.76
63.1,76.9,0.5,2.14,2.05,1.85,1.79
76.1,91.5,1.5,2.15,2.06,1.84,1.79
75.3,42.2,-1,1.74,1.69,2.28,2.2
45.3,78,1.25,1.86,1.82,2.11,2.03
69.2,63.9,-0.5,1.71,1.67,2.31,2.23
58.8,75.3,-0.5,2.1,2.01,1.92,1.84
65.1,45.3,-0.5,2.03,1.98,1.92,1.86
91.5,76.9,-1.5,2.03,1.94,2,1.9
42.2,76.1,0.25,1.84,1.79,2.13,2.06
57.8,61.9,-0.75,2.1,2.03,1.87,1.81
63.9,63.1,-0.5,2.05,1.97,1.92,1.87
70,70.2,-0.5,1.97,1.92,1.99,1.92
78,64.3,-2,2.13,2.05,1.87,1.8
69.7,69.2,0.5,1.76,1.71,2.23,2.17
